Key,Marginal_Cost_(EUR/MWh),Capacity_(MW),%_Price-setting
import_from_de,27.59905647971597,5049.0,45.47945205479452
energy_power_combined_cycle_network_gas,29.434800651745448,4968.000000000001,30.55936073059361
energy_chp_combined_cycle_network_gas,41.37150093106492,3035.752572247012,9.121004566210047
energy_chp_ultra_supercritical_coal,24.42625920383597,802.0173913043474,5.3881278538812785
energy_power_ultra_supercritical_coal,21.055312338742272,1224.0,3.2077625570776256
energy_power_ultra_supercritical_network_gas,43.71907597761816,3456.0,2.2945205479452055
energy_power_nuclear_gen2_uranium_oxide,5.041880429577916,430.65,1.906392694063927
agriculture_chp_engine_network_gas,44.54479729302326,2489.0,1.004566210045662
energy_power_ultra_supercritical_cofiring_coal,46.15473526825638,1606.9565217391312,0.7420091324200913
buildings_collective_chp_network_gas,44.54479729302326,570.6666434588851,0.19406392694063926
energy_chp_ultra_supercritical_cofiring_coal,52.64338599562329,474.3078260869564,0.07990867579908677
energy_power_turbine_network_gas,51.88125164278608,194.69387755102053,0.0228310502283105
agriculture_chp_engine_biogas,151.87216567570286,199.5,0.0
agriculture_chp_supercritical_wood_pellets,147.31412429378528,249.75000000000003,0.0
buildings_chp_engine_biogas,151.87216567570286,0.0,0.0
buildings_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
buildings_solar_pv_solar_radiation,0.0,1122.1245,0.0
energy_chp_supercritical_waste_mix,0.0,599.4,0.0
energy_chp_ultra_supercritical_lignite,18.92557366857143,0.0,0.0
energy_power_combined_cycle_ccs_coal,22.348032360910032,0.0,0.0
energy_power_combined_cycle_ccs_network_gas,37.788470513542016,0.0,0.0
energy_power_combined_cycle_coal,20.62740201180794,0.0,0.0
energy_power_engine_diesel,187.87327684210524,0.0,0.0
energy_power_engine_network_gas,36.7825633146818,0.0,0.0
energy_power_hydro_mountain,2.4920896602739795,0.0,0.0
energy_power_hydro_river,0.0,100.94000000000001,0.0
energy_power_nuclear_gen3_uranium_oxide,4.844769136055791,0.0,0.0
energy_power_solar_csp_solar_radiation,1.0,0.0,0.0
energy_power_solar_pv_solar_radiation,0.0,12.43367935409458,0.0
energy_power_supercritical_coal,26.67085119870663,0.0,0.0
energy_power_supercritical_waste_mix,1.169906407487401,0.0,0.0
energy_power_ultra_supercritical_ccs_coal,28.644389641049504,0.0,0.0
energy_power_ultra_supercritical_crude_oil,117.45451237612158,0.0,0.0
energy_power_ultra_supercritical_lignite,17.597376960000002,0.0,0.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,20.329815437734727,0.0,0.0
energy_power_wind_turbine_coastal,0.0,712.4999999999999,0.0
energy_power_wind_turbine_inland,0.0,5936.549999999999,0.0
energy_power_wind_turbine_offshore,0.0,4095.84,0.0
households_collective_chp_biogas,151.87216567570286,0.0,0.0
households_collective_chp_network_gas,44.54479729302326,0.0,0.0
households_collective_chp_wood_pellets,147.44745762711864,0.0,0.0
households_solar_pv_solar_radiation,0.0,2810.581767905015,0.0
industry_chp_combined_cycle_gas_power_fuelmix,54.1699060656637,875.9450357919136,0.0
industry_chp_engine_gas_power_fuelmix,57.60640780080042,14.264031723246422,0.0
industry_chp_turbine_gas_power_fuelmix,60.300948809417775,408.6960434576166,0.0
industry_chp_ultra_supercritical_coal,29.635021438447954,0.0,0.0
emergency_price,"","",0.0
